
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-12 11:22:45 /login ..................................... ~ 500.91ms
  2026-03-12 11:22:45 /build/assets/app-CLNsc3a3.css ............... ~ 0.08ms
  2026-03-12 11:22:45 /build/assets/app-CWNHUZev.js ................ ~ 0.52ms
  2026-03-12 11:22:46 /login ....................................... ~ 0.20ms
  2026-03-12 11:22:46 /login ....................................... ~ 0.05ms
  2026-03-12 11:22:46 /build/assets/app-CLNsc3a3.css ............... ~ 0.11ms
  2026-03-12 11:22:46 /build/assets/app-CWNHUZev.js ................ ~ 0.51ms
  2026-03-12 11:26:13 /login ....................................... ~ 0.35ms
  2026-03-12 11:26:13 /build/assets/app-CLNsc3a3.css ............... ~ 0.19ms
  2026-03-12 11:26:13 /build/assets/app-CWNHUZev.js ................ ~ 1.74ms
  2026-03-12 11:26:14 /login ....................................... ~ 0.42ms
  2026-03-12 11:26:14 /login ....................................... ~ 0.11ms
  2026-03-12 11:26:14 /build/assets/app-CLNsc3a3.css ............... ~ 0.25ms
  2026-03-12 11:26:14 /build/assets/app-CWNHUZev.js ................ ~ 1.74ms
